States,India,Maharashtra,Gujarat,Delhi,Rajasthan,Madhya Pradesh,Tamil Nadu,Uttar Pradesh,Andhra Pradesh,Telangana,West Bengal,Karnataka,Jammu and Kashmir,Kerala,Punjab,Haryana,Bihar,Odisha,Jharkhand,Uttarakhand,Himachal Pradesh,Chhattisgarh,Assam,Andaman and Nicobar,Chandigarh,Ladakh,Meghalaya,Puducherry,Goa,Manipur,Tripura,Arunachal Pradesh,Mizoram
3rd June,217644,75651,18091,23345,9619,8980,25945,8620,4031,3035,6502,4006,2834,1493,2413,2719,4408,2344,776,1237,356,611,1679,33,298,82,26,92,78,99,629,93,36
4th June,225769,79908,18806,24565,9967,8960,27187,8969,4231,3152,6857,4311,3036,1574,2454,3273,4652,2543,817,1148,369,713,1856,33,304,94,33,88,80,127,534,97,31
5th June,236834,80964,19481,26335,10278,9063,28235,9313,4325,3347,7243,4681,3263,1674,2441,3678,4852,2626,852,1234,389,810,2130,33,305,95,35,84,217,158,788,43,25
6th June,245990,81965,19730,27837,10578,9375,30208,10029,4543,3393,7699,5118,3466,1815,2492,4014,5105,2778,937,1292,405,1013,2442,33,307,102,33,101,336,160,779,45,23
7th June,258836,86450,20687,29379,10819,9567,32233,10320,4737,3648,8105,5574,3714,1916,2545,4416,5181,2939,1136,1364,418,1042,2693,33,310,104,34,107,407,167,880,48,26
8th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
