States,30th April(Predicted),30th April(Actual),1st May(Predicted),1st May(Actual),2nd May(Predicted),2nd May(Actual),3rd May(Predicted),3rd May(Actual),4th May(Predicted),4th May(Actual),5th May(Predicted),5th May(Actual),6th May(Predicted),6th May(Actual),7th May(Predicted),7th May(Actual),8th May(Predicted),8th May(Actual),9th May(Predicted),9th May(Actual),10th May(Predicted),10th May(Actual),11th May(Predicted),11th May(Actual),12th May(Predicted),12th May(Actual),13th May(Predicted),13th May(Actual),14th May(Predicted),14th May(Actual),15th May(Predicted),15th May(Actual),16th May(Predicted),16th May(Actual),17th May(Predicted),17th May(Actual),18th May(Predicted),18th May(Actual),19th May(Predicted),19th May(Actual),20th May(Predicted),20th May(Actual),21st May(Predicted),21st May(Actual),22nd May(Predicted),22nd May(Actual),23rd May(Predicted),23rd May(Actual),24th May(Predicted),24th May(Actual),25th May(Predicted),25th May(Actual),26th May(Predicted),26th May(Actual),27th May(Predicted),27th May(Actual),28th May(Predicted),28th May(Actual),29th May(Predicted),29th May(Actual),30th May(Predicted),30th May(Actual),31st May(Predicted),31st May(Actual),1st June(Predicted),1st June(Actual),2nd June(Predicted),2nd June(Actual),3rd June(Predicted),3rd June(Actual),4th June(Predicted),4th June(Actual),5th June(Predicted),5th June(Actual),6th June(Predicted),6th June(Actual),7th June(Predicted),7th June(Actual),8th June(Predicted),8th June(Actual),9th June(Predicted),9th June(Actual),10th June(Predicted),10th June(Actual),11th June(Predicted),11th June(Actual),12th June(Predicted),12th June(Actual),13th June(Predicted),13th June(Actual),14th June(Predicted),14th June(Actual),15th June(Predicted),15th June(Actual)
West Bengal,773,758,804,795,829,922,1013,963,1015,1259,1368,1344,1568,1456,1601,1548,1683,1678,1811,1786,1921,1939,2076,2063,2186,2173,2375,2290,2385,2377,2492,2461,2579,2576,2703,2677,2790,2825,2919,2961,3067,3103,3231,3197,3387,3332,3488,3459,3633,3667,3811,3816,4042,4009,4185,4192,4393,4536,4664,4813,5007,5130,5329,5501,5740,5772,6011,6168,6502,6508,6857,6876,7243,7303,7699,7738,8105,,,,,,,,,,,,,,,,,
Karnataka,547,565,573,589,603,601,618,614,640,651,665,673,683,693,716,705,739,753,777,794,820,848,857,862,897,925,957,959,989,987,1036,1056,1087,1092,1141,1147,1204,1246,1287,1397,1500,1462,1504,1605,1706,1743,1855,1959,2087,2089,2243,2182,2439,2283,2492,2418,2590,2533,2723,2781,2925,2922,3116,3221,3436,3408,3691,3796,4006,4063,4311,4320,4681,4835,5118,5213,5574,,,,,,,,,,,,,,,,,
Jammu and Kashmir,612,614,636,624,650,651,675,686,708,711,739,726,756,775,795,793,823,823,857,836,870,861,894,879,882,934,955,971,984,983,1005,1013,1041,1121,1125,1183,1193,1289,1289,1317,1375,1390,1505,1449,1509,1489,1563,1569,1637,1621,1681,1668,1745,1759,1818,1921,1961,2036,2135,2164,2311,2341,2460,2446,2572,2601,2766,2718,2834,2857,3036,3142,3263,3324,3466,3467,3714,,,,,,,,,,,,,,,,,
Kerala,503,498,503,498,505,500,503,500,502,500,503,503,503,503,505,503,505,504,503,505,508,512,518,519,517,524,526,534,538,560,570,577,593,587,601,601,608,630,644,642,660,666,675,690,710,732,720,795,836,847,909,896,958,963,1025,1004,1078,1088,1152,1150,1228,1208,1300,1269,1356,1326,1407,1412,1493,1494,1574,1588,1674,1699,1815,1807,1916,,,,,,,,,,,,,,,,,
Punjab,382,480,542,585,723,772,953,1102,1390,1232,1650,1451,1783,1526,1705,1644,1828,1731,1810,1762,1862,1823,1920,1877,1885,1914,1967,1924,1944,1935,1988,1932,1969,1946,2002,1964,1965,1980,2014,2002,2012,2005,2133,2028,2130,2029,2038,2045,2116,2060,2093,2060,2110,2106,2112,2139,2143,2158,2190,2197,2261,2233,2240,2263,2290,2301,2331,2342,2413,2376,2454,2415,2441,2461,2492,2515,2545,,,,,,,,,,,,,,,,,
Haryana,326,339,339,357,358,376,398,442,472,517,571,548,622,594,664,625,668,647,693,675,706,703,728,730,734,780,800,793,808,818,854,854,874,887,921,910,948,928,957,964,998,993,1030,1031,1063,1067,1098,1131,1153,1184,1215,1184,1220,1305,1450,1381,1419,1504,1514,1721,1722,1923,2091,2091,2364,2356,2610,2652,2719,2954,3273,3281,3678,3597,4014,3952,4416,,,,,,,,,,,,,,,,,
Bihar,459,425,453,466,497,481,515,517,545,528,554,535,554,542,568,550,561,579,594,591,598,696,690,747,728,831,849,940,982,994,1118,1033,1106,1179,1278,1262,1358,1391,1532,1498,1640,1674,1748,1982,2064,2177,2516,2380,2614,2587,2847,2730,3087,2983,3332,3061,3413,3296,3555,3376,3685,3636,3905,3815,4123,3926,4299,4155,4408,4390,4652,4493,4852,4596,5105,4915,5181,,,,,,,,,,,,,,,,,
Odisha,139,143,146,154,165,160,177,162,177,169,179,177,213,205,212,219,230,270,314,294,369,377,419,414,516,437,506,538,565,611,669,737,881,737,909,828,960,876,973,978,1065,1052,1113,1103,1272,1189,1299,1269,1363,1336,1431,1438,1537,1517,1614,1593,1700,1660,1760,1723,1834,1819,1893,1948,2025,2104,2222,2245,2344,2388,2543,2478,2626,2608,2778,2781,2939,,,,,,,,,,,,,,,,,
Jharkhand,111,110,111,113,115,115,116,115,116,115,117,125,125,127,127,132,138,154,153,156,161,157,168,160,175,172,179,173,173,197,202,211,220,217,234,223,236,223,231,231,235,231,252,290,283,308,316,350,381,370,412,377,402,426,449,448,482,469,508,511,542,563,602,610,643,659,714,712,776,752,817,793,852,881,937,1000,1136,,,,,,,,,,,,,,,,,
Uttarakhand,57,57,58,57,59,59,60,60,62,60,63,61,63,61,63,61,63,63,64,67,68,68,70,68,70,69,71,72,73,78,78,82,83,88,91,92,98,93,98,111,118,122,137,146,161,153,175,244,262,317,451,349,499,401,471,469,542,500,579,716,947,749,981,907,1056,958,1185,1043,1237,1085,1148,1153,1234,1215,1292,1303,1364,,,,,,,,,,,,,,,,,
Himachal Pradesh,41,40,40,40,40,40,40,40,40,41,41,42,41,43,43,46,51,50,49,50,51,55,58,59,67,65,64,66,73,74,80,76,84,78,86,80,85,90,94,92,99,110,116,152,184,168,213,185,222,203,223,223,247,247,268,273,299,276,302,295,321,313,325,331,347,340,359,345,356,359,369,383,389,393,405,400,418,,,,,,,,,,,,,,,,,
Chhattisgarh,38,40,39,43,43,43,45,57,58,44,56,45,48,59,50,59,59,59,67,59,63,59,60,59,60,59,61,59,60,60,60,66,64,67,67,86,84,93,105,101,118,115,123,128,145,172,203,214,271,252,329,291,349,361,425,369,454,399,447,415,429,447,465,498,517,547,598,564,611,668,713,756,810,879,1013,923,1042,,,,,,,,,,,,,,,,,
Assam,38,43,43,43,43,43,44,43,44,43,44,45,45,46,47,54,55,60,67,63,68,63,66,65,64,65,66,80,86,87,93,87,92,92,99,101,107,107,113,142,161,170,222,203,253,259,320,329,412,378,489,526,603,616,818,781,983,856,1069,1024,1162,1185,1389,1272,1502,1390,1544,1513,1679,1750,1856,1988,2130,2153,2442,2397,2693,,,,,,,,,,,,,,,,,
Andaman and Nicobar,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,,,,,,,,,,,,,,,,
Chandigarh,82,74,78,88,102,94,105,111,123,116,132,129,136,124,128,135,139,146,153,169,182,169,187,174,185,187,193,187,191,191,195,191,195,191,195,191,191,196,198,200,200,202,204,217,213,218,224,225,229,238,242,238,243,266,278,279,282,288,301,289,301,289,293,293,304,294,300,301,298,301,304,301,305,304,307,309,310,,,,,,,,,,,,,,,,,
Ladakh,22,22,23,22,23,23,23,42,46,42,51,42,50,42,44,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,48,44,44,44,44,49,51,52,55,52,52,53,52,53,53,73,73,74,80,74,80,74,77,77,80,81,82,90,94,90,95,97,102,99,104,,,,,,,,,,,,,,,,,
Meghalaya,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,20,23,21,22,27,35,27,32,27,28,27,26,27,26,33,33,33,35,33,33,33,34,,,,,,,,,,,,,,,,,
Puducherry,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,13,13,14,13,14,13,13,16,17,13,15,13,14,18,20,18,20,18,20,20,22,26,26,26,29,41,53,41,63,46,63,46,48,51,50,51,51,51,51,70,63,74,77,82,92,82,88,82,84,99,101,99,107,,,,,,,,,,,,,,,,,
Goa,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,16,15,16,17,18,29,51,38,55,46,61,50,54,52,54,54,55,55,56,66,68,67,71,67,72,68,71,69,73,69,70,70,71,70,70,71,72,79,78,79,80,166,217,196,336,267,407,,,,,,,,,,,,,,,,,
Manipur,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,7,27,7,14,7,6,9,11,25,63,25,40,26,34,29,29,32,35,39,40,39,43,44,47,55,59,59,68,62,74,71,78,83,91,89,99,118,127,124,158,132,160,157,167,,,,,,,,,,,,,,,,,
Tripura,2,2,2,2,2,4,4,16,20,29,40,42,55,64,96,88,115,118,151,134,151,150,171,152,152,154,157,155,156,156,156,155,157,167,167,167,168,167,170,173,173,173,180,173,176,175,177,189,191,191,193,194,197,207,209,230,242,242,256,251,264,268,289,313,332,420,539,468,629,468,534,644,788,692,779,747,880,,,,,,,,,,,,,,,,,
Arunachal Pradesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,3,4,4,6,4,5,22,47,22,93,38,97,42,43,45,45,47,48,,,,,,,,,,,,,,,,,
Mizoram,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,36,14,31,17,25,22,23,24,26,,,,,,,,,,,,,,,,,
